111
365
0	0	1
8	0	1
17	0	1
25	0	0
28	0	0
25	2	1
17	0	1
35	0	0
17	6	1
35	0	1
26	6	1
31	6	1
17	6	0
25	10	0
25	12	0
38	6	0
38	6	0
32	12	0
0	5	0
38	6	0
8	7	0
0	9	0
38	6	0
38	14	0
5	11	0
10	11	0
13	14	1
20	16	1
20	19	0
27	16	1
20	19	0
26	20	1
0	20	1
12	22	1
35	20	1
22	22	0
17	0	1
33	26	0
0	27	1
8	27	1
20	29	1
8	30	1
31	32	1
0	34	1
10	34	1
21	34	1
21	34	1
30	38	0
21	39	1
32	38	0
10	40	0
12	40	0
12	42	0
15	42	0
19	42	1
0	42	1
0	42	1
0	47	1
9	47	0
15	47	0
23	47	1
34	47	0
38	47	0
23	51	0
0	49	1
23	54	0
0	57	1
31	51	0
34	55	0
12	49	0
12	57	1
23	57	0
23	58	0
30	61	0
0	61	1
12	65	1
22	65	1
34	61	0
0	67	1
0	70	1
34	69	0
11	70	0
18	71	1
38	69	0
18	71	1
29	71	0
37	72	0
0	78	1
12	78	1
37	75	0
37	75	0
24	77	0
24	82	1
24	84	1
0	85	0
29	78	0
8	85	1
30	78	0
35	82	0
0	88	1
8	88	1
34	86	0
19	85	0
23	88	1
34	89	0
23	92	1
0	91	0
34	94	0
7	95	0
14	95	0
15	95	0
17	97	1
29	101	1
0	98	0
2	99	1
2	101	1
10	104	1
21	104	0
27	104	1
21	106	0
39	101	0
0	105	1
