278
6080
0	0	1
12	0	0
21	0	0
24	0	1
39	0	0
60	0	1
111	0	0
133	0	1
133	4	1
111	9	0
156	4	0
21	8	1
132	16	1
132	23	0
51	10	0
153	16	0
69	10	1
90	10	0
69	16	0
153	19	0
78	16	0
153	25	0
0	2	0
0	12	0
100	16	0
100	29	1
110	30	0
116	30	1
130	35	0
14	15	1
14	21	1
143	35	1
14	28	1
143	40	1
59	30	1
87	30	1
0	36	1
70	36	0
89	36	0
155	40	0
106	38	0
120	41	1
89	45	1
140	44	0
140	50	0
0	49	0
21	49	1
38	49	0
49	49	0
54	50	0
49	58	1
59	58	1
113	58	0
0	60	0
134	63	1
39	61	0
59	71	1
112	74	1
132	82	0
155	63	1
155	72	0
0	73	1
132	92	0
54	82	1
74	82	1
0	83	1
23	83	0
42	86	1
146	92	0
146	101	0
67	90	1
95	82	0
104	82	1
155	93	0
88	90	1
111	93	0
119	93	1
42	96	1
98	105	1
154	101	0
130	105	1
0	90	0
17	100	0
146	108	0
146	114	0
0	113	1
149	114	0
28	115	1
48	116	1
146	117	0
102	122	1
0	124	1
156	119	0
28	121	0
156	123	0
47	129	1
156	127	0
63	129	0
0	133	0
88	129	0
29	134	0
58	136	0
74	138	0
156	131	0
96	144	1
112	144	0
131	144	0
156	140	0
152	144	0
131	157	1
152	153	1
143	157	1
96	147	1
96	151	0
58	150	0
71	154	1
81	154	1
94	160	1
110	161	0
126	164	1
0	144	1
25	153	1
25	158	1
71	162	0
84	167	1
109	172	0
153	163	0
118	172	1
128	172	0
138	172	1
149	176	1
0	163	0
128	177	1
146	182	0
23	166	0
58	164	0
43	172	0
59	175	0
80	180	0
150	182	0
109	179	0
117	183	1
129	183	1
80	190	1
0	186	0
125	186	1
41	192	1
41	198	0
74	200	1
146	189	0
121	205	0
0	204	1
21	204	0
152	189	0
39	211	0
143	211	1
70	216	0
87	219	1
143	220	0
0	217	1
147	220	0
25	219	1
153	220	0
53	220	0
53	229	1
143	227	1
156	220	0
77	231	1
151	232	0
91	231	0
132	231	0
132	238	1
143	234	1
150	241	1
0	222	0
0	231	0
33	231	0
38	233	1
72	239	1
105	239	0
125	242	0
105	248	1
140	243	0
0	241	0
140	253	0
140	259	1
31	249	0
57	255	1
74	255	0
103	265	1
113	265	1
141	265	0
113	270	1
31	259	0
41	259	0
57	266	1
