145
287
0	0	0
7	0	0
10	0	1
0	2	0
8	4	1
21	0	0
0	10	1
12	10	1
19	0	0
21	1	0
0	17	1
24	0	0
22	8	0
10	18	1
22	13	0
0	24	1
11	24	0
18	24	0
0	28	1
23	24	0
11	31	0
0	34	1
9	35	1
19	32	0
9	39	1
0	40	1
0	40	0
8	42	0
14	44	0
0	43	0
0	47	1
12	51	0
22	44	0
12	53	1
22	44	0
0	55	0
0	57	1
11	57	0
22	47	0
17	57	0
22	58	1
0	65	1
8	65	1
22	66	0
0	69	1
12	69	1
0	72	1
22	66	0
0	72	0
6	74	0
23	66	0
13	74	0
13	74	1
17	74	0
19	74	0
0	81	1
19	78	0
13	79	0
16	81	0
11	81	0
11	87	1
0	88	1
21	87	0
11	91	1
0	93	1
0	97	1
9	97	0
18	91	0
17	99	0
22	99	0
0	105	1
6	105	0
13	105	0
13	110	0
22	99	0
22	109	0
17	110	0
17	112	0
13	113	0
19	74	0
0	117	1
17	117	0
0	120	0
8	120	0
8	120	1
23	115	0
15	122	0
8	123	0
15	126	0
0	124	0
23	119	0
0	131	0
22	122	0
6	131	1
0	134	0
22	131	0
6	138	1
15	138	1
0	141	1
12	140	0
15	141	1
